Id,SvgInforId,No,Name,X,Y,Width,Height,IsQRRect
1,1,1,image,28.85,17.51,113.39,169.5,0
2,1,2,image,28.85,193.59,113.39,169.5,0
3,1,3,image,147.9,17.51,113.39,170.08,0
4,1,4,image,147.9,193.59,113.39,170.08,0
5,1,5,rect,221.6,377.51,39.69,39.69,1
6,2,1,image,17.9,19.3,272.13,181.42,0
7,2,2,image,295.69,189.38,119.06,79.37,0
8,2,3,image,295.69,104.34,119.06,79.37,0
9,2,4,image,295.69,19.3,119.06,79.37,0
10,2,5,rect,17.9,229.07,39.69,39.69,1
11,3,1,image,13.26,283.96,119.06,79.37,0
12,3,2,image,13.26,198.93,119.06,79.37,0
13,3,3,image,13.26,113.89,119.06,79.37,0
14,3,4,image,13.26,28.85,119.06,79.37,0
15,3,5,rect,92.63,377.51,39.69,39.69,1
16,4,1,image,17.51,28.85,170.08,113.39,0
17,4,2,image,17.51,148.23,170.08,113.39,0
18,4,3,image,193.25,28.85,170.08,113.39,0
19,4,4,image,193.25,148.23,170.08,113.39,0
20,4,5,rect,377.51,221.6,39.69,39.69,1
21,5,1,image,23.04,17.37,119.06,79.37,0
22,5,2,image,23.04,102.74,119.06,79.37,0
23,5,3,image,23.04,187.78,119.06,79.37,0
24,5,4,image,23.04,272.82,119.06,79.37,0
25,5,5,image,147.76,17.37,119.06,79.37,0
26,5,6,image,147.76,102.74,119.06,79.37,0
27,5,7,image,147.76,187.78,119.06,79.37,0
28,5,8,image,147.76,272.82,119.06,79.37,0
29,5,9,rect,227.14,377.37,39.69,39.69,1
30,6,1,image,31.68,54.36,119.06,79.37,0
31,6,2,image,156.74,54.36,119.06,79.37,0
32,6,3,image,281.46,54.36,119.06,79.37,0
33,6,4,rect,360.5,9,39.69,39.69,1
34,7,1,image,22.54,16.87,119.06,79.37,0
35,7,2,image,22.54,101.91,119.06,79.37,0
36,7,3,image,22.54,186.95,119.06,79.37,0
37,7,4,image,22.54,271.99,119.06,79.37,0
38,7,5,image,147.27,16.87,119.06,79.37,0
39,7,6,image,147.27,101.91,119.06,79.37,0
40,7,7,image,147.27,186.95,119.06,79.37,0
41,7,8,image,147.27,271.99,119.06,79.37,0
42,7,9,rect,226.64,376.87,39.69,39.69,1
